Title,Price,Category,Seller,Legality,Additional Notes,Site
Packstation DHL Account | Anonyme Packstation | HQ | Germany,$72.82,Fraud,Rammstein,Depends,- depends on the intention; Owning one isnt setting it up to steal packages is. ,DarkFox
75x counterfeit 20 dollar bills 1500 for 400 dollars,$402.00,Counterfeit,fraudbuddy,Illegal,,ASAP market
How To Get Free Amazon Prime - Instant Delivery,$2.49,Guide,Legendary,Depends,guide itself may not be illegal but the methods illustrated may be,DarkFox
Ladies Rolex DateJust Model 179174 1:1 Replica. Identical to Original A+,$150.40,Counterfeit,thejuicedoctor,Depends,"It's clearly stated that it's counterfeit, but the intention may be to resell it as real. Also it might be copyright infringement.",ASAP market
HOW TO BACKDOOR AN APP TO SPY ANYONE,$4.00,Guide,Onepiece,Depends,guide itself may not be illegal but the use afterwards of spying is,DarkFox
*INTRO OFFER* 1000x BUDHEADS (WORMS) 600MG THC-EDIBLES,"$7,537.89",Drugs,sweetyman,Illegal,,DarkFox 
100X 50 EURO | Fake Notes | ++All Security Marks++ | Counterfeit Notes Germany,$79.96,Counterfeit,Rammstein ,Illegal ,,DarkFox 
15g Lemon Haze,$170.00,Drugs,TheSpecial,Illegal,drugs,Incognito
CREDIT CARD 10-18K !! 100% SAFE,$10.18,Electronics,HappyShopOrigi,Illegal,credit card with fake name and address,DarkFox
CRYPTO TREND MANIPULATION and CLICK FARMING OFFERING.,"$50,251.05",Services,fraudbuddy,Illegal,Market maniplation,ASAP market
20GR High Quality AFGHAN Heroine #3 UNCUT 90%,$554.00,Drugs,TheodorMorell,Illegal,,Incognito
POLISH ID SCAN HQ SCANS FROM REAL PERSONS both sides,$15.10,Fraud,drhack3r,Illegal,,ASAP market
Slovenia Fake Driving License,$174.05,Counterfeit,fakeideurope,Illegal,,ASAP market
!! Amazon gift card 5x100 $ !! 100% sure !! 100% live !!,$33.94,Electronics,SpongebobShop,Illegal,advertises that the codes for the cards are sent via chat-copyright,DarkFox
"1000 Grams (1KG) Cocaina Colombiana ""FRESH NOSE"" PURE UNCUT COCAINE","$68,445.00",Drugs,drugshub1,illegal,,Incognito
PASSWORD CRACKER [ZIP FILE],$5.95,Software,HappyShopOrigi,Depends,Brute forcing a password is illegal but if for the purposes of testing with the person's consent perhaps ok,DarkFox
1 ounce of silver,CAD $63,Metals,gracepapineau,Depends,"depends of the source of the silver, obviously illegal if it's stolen",WeTheNorth
Audemars Piguet - Royal Oak 15400 Rose Gold Black 5000$,"$5,000.00",Counterfeit,stevemeds1,Illegal,advertises as a real Audemars but is a reproduction-copyright,DarkFox
Bruteforce Softwares For Hacking Any Account,CAD $20.9895,Software,pegasus,Illegal,,WeTheNorth
1000 Instagram Followers $4 CHEAPEST ON MARKET,CAD $4.20,Services,thepirateisland,Depends,"against the terms of service, could be illegal if stolen accounts are used",WeTheNorth
GOLD BARS AMD GOLD NUGGETS,$50.04,Metals,futuremeds,Depends,depends on the source of the gold. also weird that the product description only included drugs,DarkFox
Rolex - GMT‑Master II ALL Ice S【UltimateAAA+】,$600.00,Counterfeit,sexyhomer,Illegal,"advertises that it comes with Rolex box and certificate, but at price point it is fake-copyright",DarkFox
Adderall DP30 Prescription Grade Promo x50,$170 for 50p.,Drugs ,Freewaybogez ,Illegal,Adderall cannot be sold without prescription for ADHD/ADD or other types of pathologies ,Tor2door Market
Ransomware Money (Make $10k/month),CAD $63,Software,thedangeroustomato,Depends,"if never used on an unconsenting person then it should be ok, code and instructions for ransomware attacks",WeTheNorth
Glock 17 3d Printer Gun,$10.00,Weapons,Napoleonbonapart,Illegal,unlicensed gun sellling,WeTheNorth
3D Printed GUN Blueprints [Undetectabl,$2.99,Weapons,TheDangerousTomato,Depends,illegal if the customer actually decides to make and use the gun,WeTheNorth
3D Weapon Mega Pack,$25.00,Weapons,TheFreelancer,Depends,illegal if the customer actually decides to make and use the gun,WeTheNorth
Sample pack ,1$ per single bill,Metals,anonsheep ,Illegal,"You cannot use those to make your own sample packs and distribute them, commercially or free. ",Tor2door Market
