Name,Amount of posts,Rating,Low price ($),High price ($),Primary category,Site
thejuicedoctor,62,99%,150,250,Counterfeit,ASAP market
fraudbuddy,187,80%,50,50000,Counterfeit,ASAP market
DangerousTomato,2235,64%,2,5,Fraud and Software,Tor2door
HappyShopOrigi,121,80%,1,20,Fraud and Software,Tor2door
GoldApple,150,94%,1,25,Fraud and Software,Tor2door
namedeclined,78,100%,20,800,"Fraud, Software, Drugs",Tor2door
digitalworld,120,94%,3,10,Software and accounts,Tor2door
prettypacks,1667,99%,50,500,Drugs,ASAP market
joker,17,91%,10,1050,fraud and guids,WeTheNorth
gracepapineau,38,98%,7,1000,fraud and guids,WeTheNorth
pegasus,37,85%,10,103,"fraud, software and guids",WeTheNorth
thepirateisland,38,100%,7,315,digital products and services,WeTheNorth
thedangeroustomato,100,98%,6,52,fraud and guids,WeTheNorth
canadapilot,5,100%,7,52,services,WeTheNorth
lordfinnese,42,93%,20,727,fraud and guids,WeTheNorth
seller,12,50%,0.01,3000,porn and illegal items,Courier Market
timmiroll56,415,100%,500,2000,"counterfeit, fraud and drugs",Quest Market
HarleyQuinn,450,no reviews,1,45,software and guids,Quest Market
trusteelucky,148,96%,10,100,fraud and guids,Quest Market
Fraudway,251,100%,1.72,387,software and guides,Quest Market
g3cko,282,100%,1,990,software and guides,Quest Market
biochemshop,97,91%,8,10000,counterfeit and drugs,Quest Market
